,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
3662,Chi,kNN3,8,0.6206896551724138,0.5925925925925926,9,7,4,7,[0 1 0 1 0 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 0 0],31354
3663,Chi,kNN5,8,0.5714285714285715,0.5555555555555556,8,7,4,8,[0 1 0 1 0 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0 0 0 0 0 0],31354
3664,Chi,NB,9,0.6666666666666666,0.6296296296296297,10,7,4,6,[0 1 0 1 0 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 0 0 0 0 0 0],31354
3665,Chi,LR1,9,0.5925925925925926,0.5925925925925926,8,8,3,8,[0 1 0 0 0 1 1 1 0 1 0 0 0 1 1 0 0 1 1 1 1 0 0 0 0 0 0],31354
3666,Chi,SVC1,9,0.5517241379310345,0.5185185185185185,8,6,5,8,[0 1 0 1 0 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0],31354
3667,Chi,SVC2,9,0.6896551724137931,0.6666666666666666,10,8,3,6,[0 1 0 0 0 1 1 1 1 1 0 0 0 1 1 0 0 1 1 1 1 0 0 1 0 0 0],31354
3668,Chi,SVC3,9,0.6857142857142857,0.5925925925925926,12,4,7,4,[0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 0 1 0 0],31354
3669,Chi,SVC4,9,0.7142857142857143,0.7037037037037037,10,9,2,6,[0 0 0 0 0 1 1 1 0 1 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 0 0],31354
3670,Chi,kNN3,9,0.6000000000000001,0.5555555555555556,9,6,5,7,[0 1 0 1 0 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 0 0 0 0],31354
3671,Chi,kNN5,9,0.6000000000000001,0.5555555555555556,9,6,5,7,[0 1 0 1 0 1 1 1 1 1 1 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0],31354
3672,Chi,NB,10,0.6206896551724138,0.5925925925925926,9,7,4,7,[0 1 0 0 0 1 1 1 1 1 1 0 0 1 1 0 0 1 1 1 1 0 0 0 0 0 0],31354
3673,Chi,LR1,10,0.5925925925925926,0.5925925925925926,8,8,3,8,[0 1 0 0 0 1 1 1 0 1 0 0 0 1 1 0 0 1 1 1 1 0 0 0 0 0 0],31354
3674,Chi,SVC1,10,0.5517241379310345,0.5185185185185185,8,6,5,8,[0 1 0 1 0 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0],31354
3675,Chi,SVC2,10,0.6896551724137931,0.6666666666666666,10,8,3,6,[0 1 0 0 0 1 1 1 1 1 0 0 0 1 1 0 0 1 1 1 1 0 0 1 0 0 0],31354
3676,Chi,SVC3,10,0.6857142857142857,0.5925925925925926,12,4,7,4,[0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 0 1 0 0],31354
3677,Chi,SVC4,10,0.7586206896551724,0.7407407407407407,11,9,2,5,[0 0 0 0 0 1 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 0 0],31354
3678,Chi,kNN3,10,0.6000000000000001,0.5555555555555556,9,6,5,7,[0 1 0 1 0 1 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 0 0 0 0],31354
3679,Chi,kNN5,10,0.5806451612903225,0.5185185185185185,9,5,6,7,[0 1 0 1 1 1 1 1 1 1 1 0 0 1 1 0 0 1 1 0 1 1 0 0 0 0 0],31354
3680,Chi,NB,1,0.742857142857143,0.6666666666666666,13,5,6,3,[1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 0],58445
3681,Chi,LR1,1,0.787878787878788,0.7407407407407407,13,7,4,3,[1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 1 0 1 0 1 0 0 1 1 1 0],58445
3682,Chi,SVC1,1,0.742857142857143,0.6666666666666666,13,5,6,3,[1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 0],58445
3683,Chi,SVC2,1,0.742857142857143,0.6666666666666666,13,5,6,3,[1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 0],58445
3684,Chi,SVC3,1,0.7368421052631579,0.6296296296296297,14,3,8,2,[1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1],58445
3685,Chi,SVC4,1,0.7096774193548386,0.6666666666666666,11,7,4,5,[1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1 0 0 0 1 1 0],58445
3686,Chi,kNN3,1,0.7096774193548386,0.6666666666666666,11,7,4,5,[1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1 0 0 0 1 1 0],58445
3687,Chi,kNN5,1,0.7096774193548386,0.6666666666666666,11,7,4,5,[1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1 0 0 0 1 1 0],58445
3688,Chi,NB,2,0.787878787878788,0.7407407407407407,13,7,4,3,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 0 1 0 0 1 1 1 1],58445
3689,Chi,LR1,2,0.7741935483870969,0.7407407407407407,12,8,3,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0],58445
3690,Chi,SVC1,2,0.7272727272727272,0.6666666666666666,12,6,5,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 0],58445
3691,Chi,SVC2,2,0.7272727272727272,0.6666666666666666,12,6,5,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 0],58445
3692,Chi,SVC3,2,0.7999999999999999,0.7407407407407407,14,6,5,2,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1],58445
3693,Chi,SVC4,2,0.7096774193548386,0.6666666666666666,11,7,4,5,[1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1 0 0 0 1 1 0],58445
3694,Chi,kNN3,2,0.787878787878788,0.7407407407407407,13,7,4,3,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 0 1 1 1 0 0 1 1 1 0],58445
3695,Chi,kNN5,2,0.7272727272727272,0.6666666666666666,12,6,5,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 0],58445
3696,Chi,NB,3,0.787878787878788,0.7407407407407407,13,7,4,3,[1 1 0 1 1 0 1 1 1 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 1],58445
3697,Chi,LR1,3,0.7741935483870969,0.7407407407407407,12,8,3,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0],58445
3698,Chi,SVC1,3,0.7272727272727272,0.6666666666666666,12,6,5,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 1 1 0 1 1 1 0],58445
3699,Chi,SVC2,3,0.7272727272727272,0.6666666666666666,12,6,5,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 0],58445
3700,Chi,SVC3,3,0.7999999999999999,0.7407407407407407,14,6,5,2,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1],58445
3701,Chi,SVC4,3,0.7096774193548386,0.6666666666666666,11,7,4,5,[1 1 0 1 1 0 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1 0 0 0 1 1 0],58445
3702,Chi,kNN3,3,0.7647058823529411,0.7037037037037037,13,6,5,3,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 0],58445
3703,Chi,kNN5,3,0.7096774193548386,0.6666666666666666,11,7,4,5,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 1 0 0 0 1 1 0],58445
3704,Chi,NB,4,0.787878787878788,0.7407407407407407,13,7,4,3,[1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 1 0 0 1 0 1 0 1 1 1 1 1],58445
3705,Chi,LR1,4,0.7333333333333334,0.7037037037037037,11,8,3,5,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 1 1 0],58445
3706,Chi,SVC1,4,0.75,0.7037037037037037,12,7,4,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 1 0 0 1 1 1 0],58445
3707,Chi,SVC2,4,0.7272727272727272,0.6666666666666666,12,6,5,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 0],58445
3708,Chi,SVC3,4,0.7999999999999999,0.7407407407407407,14,6,5,2,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1],58445
3709,Chi,SVC4,4,0.6666666666666666,0.6296296296296297,10,7,4,6,[1 1 0 1 1 0 1 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 1 1 0],58445
3710,Chi,kNN3,4,0.7647058823529411,0.7037037037037037,13,6,5,3,[1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 1 0 0 1 1 1 1],58445
3711,Chi,kNN5,4,0.6875,0.6296296296296297,11,6,5,5,[1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 1 1 0 1 1 1 0 0 0 1 1 0],58445
3712,Chi,NB,5,0.7567567567567567,0.6666666666666666,14,4,7,2,[1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1],58445
3713,Chi,LR1,5,0.7333333333333334,0.7037037037037037,11,8,3,5,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 1 1 0],58445
3714,Chi,SVC1,5,0.75,0.7037037037037037,12,7,4,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 1 0 0 1 1 1 0],58445
3715,Chi,SVC2,5,0.7272727272727272,0.6666666666666666,12,6,5,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 0],58445
3716,Chi,SVC3,5,0.7999999999999999,0.7407407407407407,14,6,5,2,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1],58445
3717,Chi,SVC4,5,0.6666666666666666,0.6296296296296297,10,7,4,6,[1 1 0 1 1 0 1 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 1 1 0],58445
3718,Chi,kNN3,5,0.7647058823529411,0.7037037037037037,13,6,5,3,[1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 0 1 0 0 1 1 1 1],58445
3719,Chi,kNN5,5,0.6875,0.6296296296296297,11,6,5,5,[1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 1 1 0 1 1 1 0 0 0 1 1 0],58445
3720,Chi,NB,6,0.7222222222222223,0.6296296296296297,13,4,7,3,[1 1 0 1 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1],58445
3721,Chi,LR1,6,0.7333333333333334,0.7037037037037037,11,8,3,5,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 1 1 0],58445
3722,Chi,SVC1,6,0.75,0.7037037037037037,12,7,4,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 1 0 0 1 1 1 0],58445
3723,Chi,SVC2,6,0.7272727272727272,0.6666666666666666,12,6,5,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 0],58445
3724,Chi,SVC3,6,0.7692307692307693,0.6666666666666666,15,3,8,1,[1 1 0 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1],58445
3725,Chi,SVC4,6,0.6470588235294118,0.5555555555555556,11,4,7,5,[1 1 1 1 1 0 1 1 1 0 1 1 1 0 0 1 0 0 1 0 1 1 1 0 1 1 0],58445
3726,Chi,kNN3,6,0.6666666666666667,0.5925925925925926,11,5,6,5,[1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 1 1 0 0 0 1 1 0],58445
3727,Chi,kNN5,6,0.787878787878788,0.7407407407407407,13,7,4,3,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 1 0 1 1 1 0 0 1 1 1 1],58445
3728,Chi,NB,7,0.7222222222222223,0.6296296296296297,13,4,7,3,[1 1 0 1 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1],58445
3729,Chi,LR1,7,0.7741935483870969,0.7407407407407407,12,8,3,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0],58445
3730,Chi,SVC1,7,0.75,0.7037037037037037,12,7,4,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 1 0 0 1 1 1 0],58445
3731,Chi,SVC2,7,0.7272727272727272,0.6666666666666666,12,6,5,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 0],58445
3732,Chi,SVC3,7,0.7777777777777777,0.7037037037037037,14,5,6,2,[1 1 0 1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1],58445
3733,Chi,SVC4,7,0.6666666666666666,0.6296296296296297,10,7,4,6,[1 1 0 1 1 0 1 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 1 1 0],58445
3734,Chi,kNN3,7,0.6666666666666667,0.5925925925925926,11,5,6,5,[1 1 0 1 1 0 1 1 0 0 1 1 0 1 0 1 1 1 1 1 1 0 0 0 1 1 0],58445
3735,Chi,kNN5,7,0.7647058823529411,0.7037037037037037,13,6,5,3,[1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 1 1 0 1 1 1 0 0 1 1 1 1],58445
3736,Chi,NB,8,0.7222222222222223,0.6296296296296297,13,4,7,3,[1 1 0 1 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1],58445
3737,Chi,LR1,8,0.7741935483870969,0.7407407407407407,12,8,3,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0],58445
3738,Chi,SVC1,8,0.75,0.7037037037037037,12,7,4,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 1 0 0 1 1 1 0],58445
3739,Chi,SVC2,8,0.7741935483870969,0.7407407407407407,12,8,3,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0],58445
3740,Chi,SVC3,8,0.742857142857143,0.6666666666666666,13,5,6,3,[1 1 0 1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 0],58445
3741,Chi,SVC4,8,0.6896551724137931,0.6666666666666666,10,8,3,6,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0],58445
3742,Chi,kNN3,8,0.6875,0.6296296296296297,11,6,5,5,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 1 1 1 1 1 0 0 0 1 1 0],58445
3743,Chi,kNN5,8,0.7058823529411765,0.6296296296296297,12,5,6,4,[1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 1 1 1 1 1 1 0 0 1 1 1 0],58445
3744,Chi,NB,9,0.7222222222222223,0.6296296296296297,13,4,7,3,[1 1 0 1 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 1 1 1 1 1 1 1],58445
3745,Chi,LR1,9,0.7741935483870969,0.7407407407407407,12,8,3,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0],58445
3746,Chi,SVC1,9,0.75,0.7037037037037037,12,7,4,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 1 0 0 1 1 1 0],58445
3747,Chi,SVC2,9,0.7741935483870969,0.7407407407407407,12,8,3,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0],58445
3748,Chi,SVC3,9,0.742857142857143,0.6666666666666666,13,5,6,3,[1 1 0 1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 0],58445
3749,Chi,SVC4,9,0.6896551724137931,0.6666666666666666,10,8,3,6,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0],58445
3750,Chi,kNN3,9,0.6875,0.6296296296296297,11,6,5,5,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 1 1 1 1 1 0 0 0 1 1 0],58445
3751,Chi,kNN5,9,0.7058823529411765,0.6296296296296297,12,5,6,4,[1 1 0 1 1 0 1 1 1 0 1 1 0 0 0 1 1 1 1 1 1 0 0 1 1 1 0],58445
3752,Chi,NB,10,0.6857142857142857,0.5925925925925926,12,4,7,4,[1 1 0 1 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 1 1],58445
3753,Chi,LR1,10,0.6896551724137931,0.6666666666666666,10,8,3,6,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0],58445
3754,Chi,SVC1,10,0.6666666666666666,0.6296296296296297,10,7,4,6,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 0 0 1 1 1 0 0 0 1 1 0],58445
3755,Chi,SVC2,10,0.7741935483870969,0.7407407407407407,12,8,3,4,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 0 1 1 1 0],58445
3756,Chi,SVC3,10,0.742857142857143,0.6666666666666666,13,5,6,3,[1 1 0 1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 0],58445
3757,Chi,SVC4,10,0.6896551724137931,0.6666666666666666,10,8,3,6,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 0 1 1 0],58445
3758,Chi,kNN3,10,0.6875,0.6296296296296297,11,6,5,5,[1 1 0 1 1 0 1 1 0 0 1 1 0 0 0 1 1 1 1 1 1 0 0 0 1 1 0],58445
3759,Chi,kNN5,10,0.742857142857143,0.6666666666666666,13,5,6,3,[1 1 0 1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 1 0],58445
3760,Chi,NB,1,0.7142857142857143,0.5555555555555556,15,0,11,1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1],56441
3761,Chi,LR1,1,0.7142857142857143,0.5555555555555556,15,0,11,1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1],56441
3762,Chi,SVC1,1,0.7441860465116279,0.5925925925925926,16,0,11,0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],56441
3763,Chi,SVC2,1,0.7441860465116279,0.5925925925925926,16,0,11,0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],56441
3764,Chi,SVC3,1,0.7441860465116279,0.5925925925925926,16,0,11,0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],56441
3765,Chi,SVC4,1,0.7142857142857143,0.5555555555555556,15,0,11,1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1],56441
3766,Chi,kNN3,1,0.7441860465116279,0.5925925925925926,16,0,11,0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],56441
3767,Chi,kNN5,1,0.7142857142857143,0.5555555555555556,15,0,11,1,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1],56441
3768,Chi,NB,2,0.6829268292682927,0.5185185185185185,14,0,11,2,[1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1],56441
3769,Chi,LR1,2,0.742857142857143,0.6666666666666666,13,5,6,3,[0 0 1 1 1 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 0],56441
3770,Chi,SVC1,2,0.75,0.6296296296296297,15,2,9,1,[1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],56441
3771,Chi,SVC2,2,0.7567567567567567,0.6666666666666666,14,4,7,2,[1 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0],56441
3772,Chi,SVC3,2,0.7142857142857143,0.5555555555555556,15,0,11,1,[1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],56441
3773,Chi,SVC4,2,0.7272727272727272,0.6666666666666666,12,6,5,4,[0 0 1 1 1 0 1 0 1 1 1 0 1 1 0 0 1 1 0 1 1 1 1 1 0 1 0],56441
3774,Chi,kNN3,2,0.75,0.6296296296296297,15,2,9,1,[1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],56441
3775,Chi,kNN5,2,0.7027027027027026,0.5925925925925926,13,3,8,3,[1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1],56441
3776,Chi,NB,3,0.7368421052631579,0.6296296296296297,14,3,8,2,[0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1],56441
3777,Chi,LR1,3,0.7777777777777777,0.7037037037037037,14,5,6,2,[0 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0],56441
3778,Chi,SVC1,3,0.7894736842105263,0.7037037037037037,15,4,7,1,[0 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],56441
3779,Chi,SVC2,3,0.7777777777777777,0.7037037037037037,14,5,6,2,[0 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0],56441
3780,Chi,SVC3,3,0.7317073170731707,0.5925925925925926,15,1,10,1,[1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],56441
3781,Chi,SVC4,3,0.7272727272727272,0.6666666666666666,12,6,5,4,[0 0 1 1 1 0 1 0 1 1 1 0 1 1 0 0 1 1 0 1 1 1 1 1 0 1 0],56441
3782,Chi,kNN3,3,0.7894736842105263,0.7037037037037037,15,4,7,1,[0 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],56441
3783,Chi,kNN5,3,0.7567567567567567,0.6666666666666666,14,4,7,2,[0 0 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],56441
3784,Chi,NB,4,0.7368421052631579,0.6296296296296297,14,3,8,2,[0 0 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1],56441
3785,Chi,LR1,4,0.7777777777777777,0.7037037037037037,14,5,6,2,[0 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0],56441
3786,Chi,SVC1,4,0.7894736842105263,0.7037037037037037,15,4,7,1,[0 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],56441
3787,Chi,SVC2,4,0.7777777777777777,0.7037037037037037,14,5,6,2,[0 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0],56441
3788,Chi,SVC3,4,0.7317073170731707,0.5925925925925926,15,1,10,1,[1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],56441
3789,Chi,SVC4,4,0.6875,0.6296296296296297,11,6,5,5,[0 0 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1 1 0 1 1 1 1 1 0 1 0],56441
3790,Chi,kNN3,4,0.75,0.6296296296296297,15,2,9,1,[0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],56441
3791,Chi,kNN5,4,0.7567567567567567,0.6666666666666666,14,4,7,2,[0 0 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1],56441
3792,Chi,NB,5,0.7567567567567567,0.6666666666666666,14,4,7,2,[0 0 1 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 1 1 0 1 1 1 1 1],56441
3793,Chi,LR1,5,0.7999999999999999,0.7407407407407407,14,6,5,2,[0 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 0],56441
3794,Chi,SVC1,5,0.7777777777777777,0.7037037037037037,14,5,6,2,[0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 0],56441
3795,Chi,SVC2,5,0.7999999999999999,0.7407407407407407,14,6,5,2,[0 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 0],56441
3796,Chi,SVC3,5,0.7179487179487181,0.5925925925925926,14,2,9,2,[1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0],56441
3797,Chi,SVC4,5,0.6896551724137931,0.6666666666666666,10,8,3,6,[0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 0],56441
3798,Chi,kNN3,5,0.8108108108108109,0.7407407407407407,15,5,6,1,[0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1],56441
3799,Chi,kNN5,5,0.7894736842105263,0.7037037037037037,15,4,7,1,[0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1],56441
3800,Chi,NB,6,0.7894736842105263,0.7037037037037037,15,4,7,1,[0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1],56441
3801,Chi,LR1,6,0.7999999999999999,0.7407407407407407,14,6,5,2,[0 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 0],56441
3802,Chi,SVC1,6,0.7567567567567567,0.6666666666666666,14,4,7,2,[0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0],56441
3803,Chi,SVC2,6,0.7999999999999999,0.7407407407407407,14,6,5,2,[0 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 0],56441
3804,Chi,SVC3,6,0.7368421052631579,0.6296296296296297,14,3,8,2,[0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0],56441
